Indicator,State,Phase,Time Period,Time Period Start Date,Time Period End Date,Percent of Population,Region
Symptoms of Anxiety Disorder,Delaware,1,1,2020-04-23,2020-05-05,29.9,South
Symptoms of Anxiety Disorder,District of Columbia,1,1,2020-04-23,2020-05-05,31.4,South
Symptoms of Anxiety Disorder,Florida,1,1,2020-04-23,2020-05-05,32.6,South
Symptoms of Anxiety Disorder,Georgia,1,1,2020-04-23,2020-05-05,31.9,South
Symptoms of Anxiety Disorder,Hawaii,1,1,2020-04-23,2020-05-05,32.3,West
Symptoms of Anxiety Disorder,Idaho,1,1,2020-04-23,2020-05-05,26.9,West
Symptoms of Anxiety Disorder,Illinois,1,1,2020-04-23,2020-05-05,31.1,Midwest
Symptoms of Anxiety Disorder,Indiana,1,1,2020-04-23,2020-05-05,31.8,Midwest
Symptoms of Anxiety Disorder,Iowa,1,1,2020-04-23,2020-05-05,22.5,Midwest
Symptoms of Anxiety Disorder,Kansas,1,1,2020-04-23,2020-05-05,26.4,Midwest
Symptoms of Anxiety Disorder,Kentucky,1,1,2020-04-23,2020-05-05,31.6,South
Symptoms of Anxiety Disorder,Louisiana,1,1,2020-04-23,2020-05-05,34.4,South
Symptoms of Anxiety Disorder,Maine,1,1,2020-04-23,2020-05-05,29.5,Northeast
Symptoms of Anxiety Disorder,Maryland,1,1,2020-04-23,2020-05-05,27.7,South
Symptoms of Anxiety Disorder,Massachusetts,1,1,2020-04-23,2020-05-05,37.0,Northeast
Symptoms of Anxiety Disorder,Michigan,1,1,2020-04-23,2020-05-05,32.5,Midwest
Symptoms of Anxiety Disorder,Minnesota,1,1,2020-04-23,2020-05-05,28.5,Midwest
Symptoms of Anxiety Disorder,Mississippi,1,1,2020-04-23,2020-05-05,30.3,South
Symptoms of Anxiety Disorder,Missouri,1,1,2020-04-23,2020-05-05,30.4,Midwest
Symptoms of Anxiety Disorder,Montana,1,1,2020-04-23,2020-05-05,22.8,West
Symptoms of Anxiety Disorder,Nebraska,1,1,2020-04-23,2020-05-05,24.2,Midwest
Symptoms of Anxiety Disorder,Nevada,1,1,2020-04-23,2020-05-05,31.4,West
Symptoms of Anxiety Disorder,New Hampshire,1,1,2020-04-23,2020-05-05,31.3,Northeast
Symptoms of Anxiety Disorder,New Jersey,1,1,2020-04-23,2020-05-05,31.4,Northeast
Symptoms of Anxiety Disorder,New Mexico,1,1,2020-04-23,2020-05-05,27.9,West
Symptoms of Anxiety Disorder,New York,1,1,2020-04-23,2020-05-05,36.1,Northeast
Symptoms of Anxiety Disorder,North Carolina,1,1,2020-04-23,2020-05-05,30.0,South
Symptoms of Anxiety Disorder,North Dakota,1,1,2020-04-23,2020-05-05,21.7,Midwest
Symptoms of Anxiety Disorder,Ohio,1,1,2020-04-23,2020-05-05,31.1,Midwest
Symptoms of Anxiety Disorder,Oklahoma,1,1,2020-04-23,2020-05-05,28.6,South
Symptoms of Anxiety Disorder,Oregon,1,1,2020-04-23,2020-05-05,31.5,West
Symptoms of Anxiety Disorder,Pennsylvania,1,1,2020-04-23,2020-05-05,31.0,Northeast
Symptoms of Anxiety Disorder,Rhode Island,1,1,2020-04-23,2020-05-05,27.6,Northeast
Symptoms of Anxiety Disorder,South Carolina,1,1,2020-04-23,2020-05-05,27.8,South
Symptoms of Anxiety Disorder,South Dakota,1,1,2020-04-23,2020-05-05,22.1,Midwest
Symptoms of Anxiety Disorder,Tennessee,1,1,2020-04-23,2020-05-05,28.2,South
Symptoms of Anxiety Disorder,Texas,1,1,2020-04-23,2020-05-05,29.7,South
Symptoms of Anxiety Disorder,Utah,1,1,2020-04-23,2020-05-05,28.9,West
Symptoms of Anxiety Disorder,Vermont,1,1,2020-04-23,2020-05-05,30.6,Northeast
Symptoms of Anxiety Disorder,Virginia,1,1,2020-04-23,2020-05-05,28.5,South
Symptoms of Anxiety Disorder,Washington,1,1,2020-04-23,2020-05-05,30.6,West
Symptoms of Anxiety Disorder,West Virginia,1,1,2020-04-23,2020-05-05,28.8,South
Symptoms of Anxiety Disorder,Wisconsin,1,1,2020-04-23,2020-05-05,27.1,Midwest
Symptoms of Anxiety Disorder,Wyoming,1,1,2020-04-23,2020-05-05,24.9,West
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,1,1,2020-04-23,2020-05-05,30.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,1,1,2020-04-23,2020-05-05,31.5,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,1,1,2020-04-23,2020-05-05,36.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,1,1,2020-04-23,2020-05-05,38.0,South
Symptoms of Anxiety Disorder or Depressive Disorder,California,1,1,2020-04-23,2020-05-05,37.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,1,1,2020-04-23,2020-05-05,35.9,West
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,1,1,2020-04-23,2020-05-05,40.2,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,1,1,2020-04-23,2020-05-05,34.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,1,1,2020-04-23,2020-05-05,37.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,1,1,2020-04-23,2020-05-05,36.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,1,1,2020-04-23,2020-05-05,36.2,South
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,1,1,2020-04-23,2020-05-05,37.0,West
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,1,1,2020-04-23,2020-05-05,33.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,1,1,2020-04-23,2020-05-05,36.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,1,1,2020-04-23,2020-05-05,37.8,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,1,1,2020-04-23,2020-05-05,28.2,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,1,1,2020-04-23,2020-05-05,32.5,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,1,1,2020-04-23,2020-05-05,36.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,1,1,2020-04-23,2020-05-05,38.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,1,1,2020-04-23,2020-05-05,34.3,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,1,1,2020-04-23,2020-05-05,32.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,1,1,2020-04-23,2020-05-05,40.6,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,1,1,2020-04-23,2020-05-05,39.4,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,1,1,2020-04-23,2020-05-05,32.4,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,1,1,2020-04-23,2020-05-05,34.5,South
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,1,1,2020-04-23,2020-05-05,35.2,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,1,1,2020-04-23,2020-05-05,27.3,West
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,1,1,2020-04-23,2020-05-05,28.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,1,1,2020-04-23,2020-05-05,34.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,New Hampshire,1,1,2020-04-23,2020-05-05,34.8,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Jersey,1,1,2020-04-23,2020-05-05,37.6,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,New Mexico,1,1,2020-04-23,2020-05-05,34.6,West
Symptoms of Anxiety Disorder or Depressive Disorder,New York,1,1,2020-04-23,2020-05-05,41.4,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,North Carolina,1,1,2020-04-23,2020-05-05,34.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,North Dakota,1,1,2020-04-23,2020-05-05,27.7,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Ohio,1,1,2020-04-23,2020-05-05,35.1,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Oklahoma,1,1,2020-04-23,2020-05-05,34.1,South
Symptoms of Anxiety Disorder or Depressive Disorder,Oregon,1,1,2020-04-23,2020-05-05,36.8,West
Symptoms of Anxiety Disorder or Depressive Disorder,Pennsylvania,1,1,2020-04-23,2020-05-05,35.1,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Rhode Island,1,1,2020-04-23,2020-05-05,34.4,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,South Carolina,1,1,2020-04-23,2020-05-05,33.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,South Dakota,1,1,2020-04-23,2020-05-05,25.6,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Tennessee,1,1,2020-04-23,2020-05-05,33.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,Texas,1,1,2020-04-23,2020-05-05,34.9,South
Symptoms of Anxiety Disorder or Depressive Disorder,Utah,1,1,2020-04-23,2020-05-05,34.7,West
Symptoms of Anxiety Disorder or Depressive Disorder,Vermont,1,1,2020-04-23,2020-05-05,33.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Virginia,1,1,2020-04-23,2020-05-05,33.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Washington,1,1,2020-04-23,2020-05-05,35.0,West
Symptoms of Anxiety Disorder or Depressive Disorder,West Virginia,1,1,2020-04-23,2020-05-05,34.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Wisconsin,1,1,2020-04-23,2020-05-05,31.1,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Wyoming,1,1,2020-04-23,2020-05-05,31.0,West
Symptoms of Depressive Disorder,Alabama,1,2,2020-05-07,2020-05-12,22.5,South
Symptoms of Depressive Disorder,Alaska,1,2,2020-05-07,2020-05-12,25.1,West
Symptoms of Depressive Disorder,Arizona,1,2,2020-05-07,2020-05-12,25.3,West
Symptoms of Depressive Disorder,Arkansas,1,2,2020-05-07,2020-05-12,24.5,South
Symptoms of Depressive Disorder,California,1,2,2020-05-07,2020-05-12,22.8,West
Symptoms of Depressive Disorder,Colorado,1,2,2020-05-07,2020-05-12,23.6,West
Symptoms of Depressive Disorder,Connecticut,1,2,2020-05-07,2020-05-12,21.5,Northeast
Symptoms of Depressive Disorder,Delaware,1,2,2020-05-07,2020-05-12,23.3,South
Symptoms of Depressive Disorder,District of Columbia,1,2,2020-05-07,2020-05-12,30.3,South
Symptoms of Depressive Disorder,Florida,1,2,2020-05-07,2020-05-12,24.8,South
Symptoms of Depressive Disorder,Georgia,1,2,2020-05-07,2020-05-12,25.6,South
Symptoms of Depressive Disorder,Hawaii,1,2,2020-05-07,2020-05-12,16.8,West
Symptoms of Depressive Disorder,Idaho,1,2,2020-05-07,2020-05-12,17.0,West
Symptoms of Depressive Disorder,Illinois,1,2,2020-05-07,2020-05-12,29.2,Midwest
Symptoms of Depressive Disorder,Indiana,1,2,2020-05-07,2020-05-12,19.9,Midwest
Symptoms of Depressive Disorder,Iowa,1,2,2020-05-07,2020-05-12,18.1,Midwest
Symptoms of Depressive Disorder,Kansas,1,2,2020-05-07,2020-05-12,16.7,Midwest
Symptoms of Depressive Disorder,Kentucky,1,2,2020-05-07,2020-05-12,25.6,South
Symptoms of Depressive Disorder,Louisiana,1,2,2020-05-07,2020-05-12,30.0,South
Symptoms of Depressive Disorder,Maine,1,2,2020-05-07,2020-05-12,17.1,Northeast
Symptoms of Depressive Disorder,Maryland,1,2,2020-05-07,2020-05-12,24.6,South
Symptoms of Depressive Disorder,Massachusetts,1,2,2020-05-07,2020-05-12,18.9,Northeast
Symptoms of Depressive Disorder,Michigan,1,2,2020-05-07,2020-05-12,23.4,Midwest
Symptoms of Depressive Disorder,Minnesota,1,2,2020-05-07,2020-05-12,18.4,Midwest
Symptoms of Depressive Disorder,Mississippi,1,2,2020-05-07,2020-05-12,35.5,South
Symptoms of Depressive Disorder,Missouri,1,2,2020-05-07,2020-05-12,24.1,Midwest
Symptoms of Depressive Disorder,Montana,1,2,2020-05-07,2020-05-12,20.8,West
Symptoms of Depressive Disorder,Nebraska,1,2,2020-05-07,2020-05-12,21.6,Midwest
Symptoms of Depressive Disorder,Nevada,1,2,2020-05-07,2020-05-12,31.2,West
Symptoms of Depressive Disorder,New Hampshire,1,2,2020-05-07,2020-05-12,23.3,Northeast
Symptoms of Depressive Disorder,New Jersey,1,2,2020-05-07,2020-05-12,26.4,Northeast
Symptoms of Depressive Disorder,New Mexico,1,2,2020-05-07,2020-05-12,29.0,West
Symptoms of Depressive Disorder,New York,1,2,2020-05-07,2020-05-12,29.2,Northeast
Symptoms of Depressive Disorder,North Carolina,1,2,2020-05-07,2020-05-12,20.2,South
Symptoms of Depressive Disorder,North Dakota,1,2,2020-05-07,2020-05-12,20.2,Midwest
Symptoms of Depressive Disorder,Ohio,1,2,2020-05-07,2020-05-12,26.4,Midwest
Symptoms of Depressive Disorder,Oklahoma,1,2,2020-05-07,2020-05-12,20.7,South
Symptoms of Depressive Disorder,Oregon,1,2,2020-05-07,2020-05-12,17.8,West
Symptoms of Depressive Disorder,Pennsylvania,1,2,2020-05-07,2020-05-12,23.0,Northeast
Symptoms of Depressive Disorder,Rhode Island,1,2,2020-05-07,2020-05-12,22.8,Northeast
Symptoms of Depressive Disorder,South Carolina,1,2,2020-05-07,2020-05-12,25.6,South
Symptoms of Depressive Disorder,South Dakota,1,2,2020-05-07,2020-05-12,20.5,Midwest
Symptoms of Depressive Disorder,Tennessee,1,2,2020-05-07,2020-05-12,21.7,South
Symptoms of Depressive Disorder,Texas,1,2,2020-05-07,2020-05-12,25.7,South
Symptoms of Depressive Disorder,Utah,1,2,2020-05-07,2020-05-12,22.6,West
Symptoms of Depressive Disorder,Vermont,1,2,2020-05-07,2020-05-12,26.8,Northeast
Symptoms of Depressive Disorder,Virginia,1,2,2020-05-07,2020-05-12,20.6,South
Symptoms of Depressive Disorder,Washington,1,2,2020-05-07,2020-05-12,22.9,West
Symptoms of Depressive Disorder,West Virginia,1,2,2020-05-07,2020-05-12,31.8,South
Symptoms of Depressive Disorder,Wisconsin,1,2,2020-05-07,2020-05-12,22.9,Midwest
Symptoms of Depressive Disorder,Wyoming,1,2,2020-05-07,2020-05-12,18.6,West
Symptoms of Anxiety Disorder,Alabama,1,2,2020-05-07,2020-05-12,27.2,South
Symptoms of Anxiety Disorder,Alaska,1,2,2020-05-07,2020-05-12,27.4,West
Symptoms of Anxiety Disorder,Arizona,1,2,2020-05-07,2020-05-12,34.2,West
Symptoms of Anxiety Disorder,Arkansas,1,2,2020-05-07,2020-05-12,29.1,South
Symptoms of Anxiety Disorder,California,1,2,2020-05-07,2020-05-12,31.4,West
Symptoms of Anxiety Disorder,Colorado,1,2,2020-05-07,2020-05-12,29.7,West
Symptoms of Anxiety Disorder,Connecticut,1,2,2020-05-07,2020-05-12,29.1,Northeast
Symptoms of Anxiety Disorder,Delaware,1,2,2020-05-07,2020-05-12,24.9,South
Symptoms of Anxiety Disorder,District of Columbia,1,2,2020-05-07,2020-05-12,36.2,South
Symptoms of Anxiety Disorder,Florida,1,2,2020-05-07,2020-05-12,27.6,South
Symptoms of Anxiety Disorder,Georgia,1,2,2020-05-07,2020-05-12,29.5,South
Symptoms of Anxiety Disorder,Hawaii,1,2,2020-05-07,2020-05-12,20.4,West
Symptoms of Anxiety Disorder,Idaho,1,2,2020-05-07,2020-05-12,25.0,West
Symptoms of Anxiety Disorder,Illinois,1,2,2020-05-07,2020-05-12,35.7,Midwest
Symptoms of Anxiety Disorder,Indiana,1,2,2020-05-07,2020-05-12,31.5,Midwest
Symptoms of Anxiety Disorder,Iowa,1,2,2020-05-07,2020-05-12,20.3,Midwest
Symptoms of Anxiety Disorder,Kansas,1,2,2020-05-07,2020-05-12,25.1,Midwest
Symptoms of Anxiety Disorder,Kentucky,1,2,2020-05-07,2020-05-12,29.6,South
Symptoms of Anxiety Disorder,Louisiana,1,2,2020-05-07,2020-05-12,34.6,South
Symptoms of Anxiety Disorder,Maine,1,2,2020-05-07,2020-05-12,28.9,Northeast
Symptoms of Anxiety Disorder,Maryland,1,2,2020-05-07,2020-05-12,30.1,South
Symptoms of Anxiety Disorder,Massachusetts,1,2,2020-05-07,2020-05-12,28.7,Northeast
Symptoms of Anxiety Disorder,Michigan,1,2,2020-05-07,2020-05-12,27.0,Midwest
Symptoms of Anxiety Disorder,Minnesota,1,2,2020-05-07,2020-05-12,22.9,Midwest
Symptoms of Anxiety Disorder,Mississippi,1,2,2020-05-07,2020-05-12,38.3,South
Symptoms of Anxiety Disorder,Missouri,1,2,2020-05-07,2020-05-12,37.8,Midwest
Symptoms of Anxiety Disorder,Montana,1,2,2020-05-07,2020-05-12,24.9,West
Symptoms of Anxiety Disorder,Nebraska,1,2,2020-05-07,2020-05-12,29.6,Midwest
Symptoms of Anxiety Disorder,Nevada,1,2,2020-05-07,2020-05-12,34.0,West
Symptoms of Anxiety Disorder,New Hampshire,1,2,2020-05-07,2020-05-12,30.4,Northeast
Symptoms of Anxiety Disorder,New Jersey,1,2,2020-05-07,2020-05-12,36.3,Northeast
Symptoms of Anxiety Disorder,New Mexico,1,2,2020-05-07,2020-05-12,30.2,West
Symptoms of Anxiety Disorder,New York,1,2,2020-05-07,2020-05-12,33.0,Northeast
Symptoms of Anxiety Disorder,North Carolina,1,2,2020-05-07,2020-05-12,25.9,South
Symptoms of Anxiety Disorder,North Dakota,1,2,2020-05-07,2020-05-12,25.4,Midwest
Symptoms of Anxiety Disorder,Ohio,1,2,2020-05-07,2020-05-12,26.4,Midwest
Symptoms of Anxiety Disorder,Oklahoma,1,2,2020-05-07,2020-05-12,27.2,South
Symptoms of Anxiety Disorder,Oregon,1,2,2020-05-07,2020-05-12,26.2,West
Symptoms of Anxiety Disorder,Pennsylvania,1,2,2020-05-07,2020-05-12,28.4,Northeast
Symptoms of Anxiety Disorder,Rhode Island,1,2,2020-05-07,2020-05-12,26.9,Northeast
Symptoms of Anxiety Disorder,South Carolina,1,2,2020-05-07,2020-05-12,27.9,South
Symptoms of Anxiety Disorder,South Dakota,1,2,2020-05-07,2020-05-12,26.1,Midwest
Symptoms of Anxiety Disorder,Tennessee,1,2,2020-05-07,2020-05-12,29.6,South
Symptoms of Anxiety Disorder,Texas,1,2,2020-05-07,2020-05-12,32.4,South
Symptoms of Anxiety Disorder,Utah,1,2,2020-05-07,2020-05-12,26.0,West
Symptoms of Anxiety Disorder,Vermont,1,2,2020-05-07,2020-05-12,31.8,Northeast
Symptoms of Anxiety Disorder,Virginia,1,2,2020-05-07,2020-05-12,26.8,South
Symptoms of Anxiety Disorder,Washington,1,2,2020-05-07,2020-05-12,28.5,West
Symptoms of Anxiety Disorder,West Virginia,1,2,2020-05-07,2020-05-12,34.6,South
Symptoms of Anxiety Disorder,Wisconsin,1,2,2020-05-07,2020-05-12,25.6,Midwest
Symptoms of Anxiety Disorder,Wyoming,1,2,2020-05-07,2020-05-12,22.5,West
Symptoms of Anxiety Disorder or Depressive Disorder,Alabama,1,2,2020-05-07,2020-05-12,30.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Alaska,1,2,2020-05-07,2020-05-12,35.7,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arizona,1,2,2020-05-07,2020-05-12,38.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Arkansas,1,2,2020-05-07,2020-05-12,33.0,South
Symptoms of Anxiety Disorder or Depressive Disorder,California,1,2,2020-05-07,2020-05-12,34.4,West
Symptoms of Anxiety Disorder or Depressive Disorder,Colorado,1,2,2020-05-07,2020-05-12,32.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,Connecticut,1,2,2020-05-07,2020-05-12,36.0,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Delaware,1,2,2020-05-07,2020-05-12,31.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,District of Columbia,1,2,2020-05-07,2020-05-12,40.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Florida,1,2,2020-05-07,2020-05-12,33.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Georgia,1,2,2020-05-07,2020-05-12,34.3,South
Symptoms of Anxiety Disorder or Depressive Disorder,Hawaii,1,2,2020-05-07,2020-05-12,27.1,West
Symptoms of Anxiety Disorder or Depressive Disorder,Idaho,1,2,2020-05-07,2020-05-12,29.2,West
Symptoms of Anxiety Disorder or Depressive Disorder,Illinois,1,2,2020-05-07,2020-05-12,41.8,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Indiana,1,2,2020-05-07,2020-05-12,34.9,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Iowa,1,2,2020-05-07,2020-05-12,26.1,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kansas,1,2,2020-05-07,2020-05-12,28.0,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Kentucky,1,2,2020-05-07,2020-05-12,37.7,South
Symptoms of Anxiety Disorder or Depressive Disorder,Louisiana,1,2,2020-05-07,2020-05-12,42.8,South
Symptoms of Anxiety Disorder or Depressive Disorder,Maine,1,2,2020-05-07,2020-05-12,32.9,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Maryland,1,2,2020-05-07,2020-05-12,34.6,South
Symptoms of Anxiety Disorder or Depressive Disorder,Massachusetts,1,2,2020-05-07,2020-05-12,31.0,Northeast
Symptoms of Anxiety Disorder or Depressive Disorder,Michigan,1,2,2020-05-07,2020-05-12,33.4,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Minnesota,1,2,2020-05-07,2020-05-12,27.2,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Mississippi,1,2,2020-05-07,2020-05-12,48.4,South
Symptoms of Anxiety Disorder or Depressive Disorder,Missouri,1,2,2020-05-07,2020-05-12,41.3,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Montana,1,2,2020-05-07,2020-05-12,27.6,West
Symptoms of Anxiety Disorder or Depressive Disorder,Nebraska,1,2,2020-05-07,2020-05-12,33.4,Midwest
Symptoms of Anxiety Disorder or Depressive Disorder,Nevada,1,2,2020-05-07,2020-05-12,38.1,West
